# 1 Hybird Metropolis method for Square Ising System
# 2 System size L=1000; N=1000000
# 3 Kernel size KERNEL_L=3; KERNEL_N=9
# 4 Exchange integral J=1
# 5 MC Steps. Heatup=25000; Main=1000000
# 6 T	<E>	<E^2>	<M>	<M^2>	step	seed
1.43	-1.96354904185916	3.85552516491213	0.990097889840033	0.980293859286114	100000	129
1.44	-1.96193465246778	3.84918792123278	0.989636323447979	0.979380082109457	100000	130
1.45	-1.96027053915221	3.84266094255262	0.989158889631877	0.978435339942799	100000	131
1.46	-1.95854979560091	3.83591767370286	0.988663029637389	0.977454618872545	100000	132
1.47	-1.95677413247786	3.82896539566347	0.988149525716716	0.976439519814992	100000	133
1.48	-1.95494556441212	3.82181256610526	0.987618459186078	0.975390257366133	100000	134
1.49	-1.95305914455996	3.81444044764799	0.987068365403666	0.974303996556752	100000	135
1.5	-1.95111576260721	3.80685316222603	0.986499329817151	0.973180968275532	100000	136
1.51	-1.94911636484444	3.79905506675694	0.98591161157499	0.972021748644898	100000	137
1.52	-1.94705063861332	3.79100667465633	0.9853012903129	0.970818678034434	100000	138
1.53	-1.94492883147332	3.78274866329945	0.984671825201634	0.969578650985948	100000	139
1.54	-1.94274111631984	3.77424357237278	0.984019781546449	0.968294980882709	100000	140
1.55	-1.94049085162389	3.7655052919655	0.983346055882188	0.966969518438873	100000	141
1.56	-1.93817701326914	3.75653070566741	0.982649641205895	0.965600373181148	100000	142
1.57	-1.9357975880974	3.74731289912597	0.981930487798359	0.964187542022723	100000	143
1.58	-1.93334908133733	3.7378392895771	0.981186065533734	0.962726157257634	100000	144
1.59	-1.93083084233625	3.72810838718168	0.98041707892396	0.961217714165278	100000	145
1.6	-1.92824197732295	3.7181177954575	0.979621954552836	0.959659242951677	100000	146
1.61	-1.92558006034749	3.70785926925888	0.978800286272786	0.958050073369602	100000	147
1.62	-1.92285386374911	3.6973677100266	0.977954197949533	0.956394490148203	100000	148
1.63	-1.92004175081709	3.68656108069419	0.977076378174078	0.954678329587468	100000	149
1.64	-1.91715758676623	3.67549399693984	0.97617087918032	0.952909670444423	100000	150
1.65	-1.91419462571405	3.66414188083579	0.975235121871771	0.951083632822917	100000	151
1.66	-1.91115617297249	3.65251876631428	0.974269732095893	0.949201605723752	100000	152
